Date,Open,High,Low,Close,Volume
31-01-2022,2747.66,2747.66,2632.81,2641.64,101700800
02-02-2022,2659.31,2659.31,2632.81,2641.64,68769000
03-02-2022,2641.64,2641.64,2597.47,2641.64,60204000
04-02-2022,2632.81,2659.31,2615.14,2641.64,36629400
07-02-2022,2703.49,2703.49,2641.64,2650.48,68867800
08-02-2022,2685.82,2729.99,2668.15,2694.65,158581800
09-02-2022,2721.16,2729.99,2685.82,2712.32,107360800
10-02-2022,2721.16,2738.83,2703.49,2729.99,107679400
11-02-2022,2747.66,2747.66,2703.49,2729.99,81582600
14-02-2022,2721.16,2756.5,2694.65,2756.5,76263200
15-02-2022,2756.5,2791.84,2712.32,2791.84,67804400
16-02-2022,2800.67,2800.67,2738.83,2774.17,74785000
17-02-2022,2783.0,2783.0,2712.32,2774.17,103038800
18-02-2022,2765.33,2809.51,2738.83,2774.17,81303200
21-02-2022,2774.17,2800.67,2774.17,2774.17,31720800
22-02-2022,2765.33,2791.84,2747.66,2783.0,69476600
23-02-2022,2800.67,2809.51,2765.33,2783.0,85991000
24-02-2022,2729.99,2783.0,2703.49,2721.16,170297000
25-02-2022,2729.99,2738.83,2703.49,2721.16,163299800
01-03-2022,2712.32,2774.17,2703.49,2703.49,149532200
02-03-2022,2703.49,2729.99,2668.15,2694.65,110824000
04-03-2022,2721.16,2729.99,2685.82,2703.49,104914600
07-03-2022,2668.15,2694.65,2650.48,2668.15,137667600
08-03-2022,2694.65,2721.16,2668.15,2668.15,104072200
09-03-2022,2676.98,2729.99,2676.98,2694.65,115109200
10-03-2022,2721.16,2738.83,2685.82,2712.32,105803000
11-03-2022,2729.99,2729.99,2685.82,2703.49,122401600
14-03-2022,2703.49,2765.33,2694.65,2738.83,173513400
15-03-2022,2756.5,2783.0,2747.66,2747.66,146735400
16-03-2022,2756.5,2844.85,2756.5,2809.51,291909800
17-03-2022,2827.18,2862.52,2809.51,2809.51,235559000
18-03-2022,2818.34,2827.18,2783.0,2800.67,212233400
21-03-2022,2841.63,2860.15,2813.87,2832.38,162364400
22-03-2022,2850.89,2869.4,2832.38,2841.63,112672400
23-03-2022,2841.63,2887.91,2832.38,2878.66,183894800
24-03-2022,2850.89,2934.2,2850.89,2934.2,210909800
25-03-2022,2943.45,2952.71,2878.66,2906.43,136083000
28-03-2022,2915.68,2924.94,2887.91,2915.68,95354400
29-03-2022,2952.71,2971.22,2915.68,2934.2,160112200
30-03-2022,2943.45,2952.71,2906.43,2915.68,82476000
31-03-2022,2934.19,2952.71,2906.43,2924.94,69174000
01-04-2022,2924.94,2924.94,2878.66,2915.68,62912400
04-04-2022,2897.17,2924.94,2878.66,2897.17,82013800
05-04-2022,2887.91,2915.68,2887.91,2897.17,82378200
06-04-2022,2887.91,2887.91,2832.38,2841.63,129476400
07-04-2022,2841.63,2878.66,2823.12,2850.89,136162800
08-04-2022,2887.91,2887.91,2841.63,2850.89,94622400
11-04-2022,2850.89,2869.4,2832.38,2841.63,107966400
12-04-2022,2841.63,2869.4,2823.12,2850.89,92691200
13-04-2022,2841.63,2869.4,2832.38,2860.15,90558600
14-04-2022,2860.15,2869.4,2832.38,2841.63,63275600
18-04-2022,2841.63,2860.15,2804.61,2823.12,101496000
19-04-2022,2823.12,2841.63,2804.61,2804.61,104508400
20-04-2022,2832.38,2924.94,2823.12,2906.43,164354800
21-04-2022,2961.96,3110.06,2934.2,3073.04,337363200
22-04-2022,3036.01,3082.29,2989.73,3063.78,168301800
25-04-2022,3036.01,3128.57,2971.22,3045.27,179082600
26-04-2022,3054.52,3119.32,3045.27,3091.55,131930600
27-04-2022,3063.78,3119.32,3045.27,3045.27,118272800
28-04-2022,3248.9,3359.98,3211.88,3313.7,443163800
09-05-2022,3193.37,3211.88,3082.29,3082.29,351637800
10-05-2022,2897.17,3026.76,2897.17,2998.99,498444800
11-05-2022,2998.99,3036.01,2961.96,2961.96,198922600
